DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES
ABW,BOG,5437,252,2689
ABW,BOG,188,188,2514
ABW,BOG,60,60,122
ABW,BOG,55,55,124
ABW,BOG,168,168,366
ABW,BOG,60,60,122
ABW,BOG,55,55,124
ABW,BOG,168,168,366
ABW,BOG,389,72,250056
ABW,BOG,474,3792,59
BIH,BOG,5,40,168558
BIH,BOG,31755,577,8891
BIH,BOG,9000,80,1080
AGO,BOG,3,12299,98
AGO,BOG,30,0,13
AGO,BOG,9,46,9
AGO,BOG,23,3,23
AGO,BOG,2,3,2
SAU,BOG,920,766,8
SAU,BOG,8772,5875,26
SAU,BOG,11948,1711,9418
SAU,BOG,10,10,138
SAU,BOG,962,365,56
SAU,BOG,30,30,121
SAU,BOG,20,20,118
SAU,BOG,28,28,128
SAU,BOG,16,16,67
SAU,BOG,14,14,50
SAU,BOG,45,45,138
SAU,BOG,25,25,148
SAU,BOG,15,14,15
SAU,BOG,20,20,90
SAU,BOG,17,9,15
SAU,BOG,6,3,23
SAU,BOG,3,1,62
SAU,BOG,16,20146,9
SAU,BOG,6,51444,56
SAU,BOG,12900,633,4093
SAU,BOG,800,17,152
SAU,BOG,210,17,2
SAU,BOG,540,17,172
SAU,BOG,610,17,684
SAU,BOG,700,34,219
SAU,BOG,469,469,2582
SAU,BOG,5040,46176,48
SAU,BOG,8400,76960,8
SAU,BOG,4219,14840,4
SAU,BOG,720,10320,42739557
SAU,BOG,130,130,1096
SAU,BOG,260,260,1508
SAU,BOG,133,65,133
SAU,BOG,73,73,482
SAU,BOG,153,77,153
SAU,BOG,12,3,12
SAU,BOG,20,180,756275
SAU,BOG,2,0,2
SAU,BOG,8,0,11
SAU,BOG,0,1,0
SAU,BOG,0,76,0
SAU,BOG,4,5,1777
SAU,BOG,1,0,9
DZA,BOG,17,750,3166042
DZA,BOG,2943,19755,72
ARG,BOG,50,1909,31
ARG,BOG,61,855,3
ARG,BOG,2,3250,13809250
ARG,BOG,31460,3146,13313777
ARG,BOG,95950,26446,5
ARG,BOG,51702,10376,43708900
ARG,BOG,64,1010,4196489
ARG,BOG,13273,2362,54
ARG,BOG,3200,453,8
ARG,BOG,2750,6,2750
ARG,BOG,1513,39,1513
ARG,BOG,300,2937,1
ARG,BOG,1200,20,7668
ARG,BOG,2,20,3733
ARG,BOG,2507,2507,7
ARG,BOG,78,1880,8246920
ARG,BOG,7,5,685
ARG,BOG,20,20,145
ARG,BOG,0,1,0
ARG,BOG,0,1,0
ARG,BOG,5,5,43
ARG,BOG,0,11,0
ARG,BOG,2,39,2
ARG,BOG,8,0,8
ARG,BOG,1,0,1
ARG,BOG,0,1,0
ARG,BOG,0,11,0
ARG,BOG,1,2,143
ARG,BOG,10,1,32
ARG,BOG,4,0,4
ARG,BOG,10,0,1
ARG,BOG,3,95,73
ARG,BOG,1300,11,18
ARG,BOG,1,88,1
ARG,BOG,72,0,62
ARG,BOG,12,2970,64
ARG,BOG,17075,325,2236
ARG,BOG,760,95,471
ARG,BOG,18625,5550,5
ARG,BOG,4200,92,462
ARG,BOG,355,44,304
ARG,BOG,3240,670,4
ARG,BOG,2,0,1
ARG,BOG,179,190,77
ARG,BOG,2,0,1
ARG,BOG,1,0,83
ARG,BOG,896800,72,44815
ARG,BOG,1,2285,10023518
ARG,BOG,60000,5151,6
ARG,BOG,0,21,0
ARG,BOG,69,5,3284
ARG,BOG,1,1,214
ARG,BOG,155,55,11081
ARG,BOG,24,2,68
ARG,BOG,12,0,11
ARG,BOG,2024,88,1841549
AUS,BOG,216960,8,38244
AUS,BOG,19600,9,5467
AUS,BOG,22000,8,2200
AUS,BOG,8100,4860,20560764
AUS,BOG,335,223,942707
AUS,BOG,1500,4,315
AUS,BOG,5400,2,1134
AUS,BOG,7150,2431,10663970
AUS,BOG,33600,5880,23877680
AUS,BOG,16850,3370,14783044
AUS,BOG,60770,11638,3
AUS,BOG,2988,883,3002
AUS,BOG,40,5,84
AUS,BOG,500,2,20
AUS,BOG,140,29,42
AUS,BOG,367,89,2
AUS,BOG,5,1,5
AUS,BOG,189,44,19
AUS,BOG,4,2,14
AUS,BOG,1,1,1
AUS,BOG,149,74,34
AUS,BOG,208,60,97
AUS,BOG,2791,496,74
AUS,BOG,254,43,77
AUS,BOG,704,295,43
AUS,BOG,3750,754,45
